City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Tromso,NO,69.6496,18.957,32.02,93,40,3.44,scattered clouds
317,Ust-Kulom,RU,61.6864,53.6902,32.86,99,100,5.82,snow
318,Wukari,NG,7.85,9.7833,80.91,36,67,3.11,broken clouds
319,Gamba,GA,-2.65,10.0,76.57,91,100,7.05,moderate rain
320,Cardston,CA,49.2,-113.3019,5.29,56,76,3.44,broken clouds
321,Olafsvik,IS,64.8945,-23.7142,41.56,81,100,19.82,overcast clouds
322,Manaure,CO,11.7751,-72.4445,82.54,74,71,13.8,broken clouds
323,Marsa Matruh,EG,31.3525,27.2453,70.0,60,40,8.05,scattered clouds
324,Ruteng,ID,-8.6136,120.4721,62.58,91,100,1.54,light rain
325,Chuy,UY,-33.6971,-53.4616,66.36,60,0,12.17,clear sky
326,Lazaro Cardenas,MX,17.9583,-102.2,84.58,67,23,7.27,few clouds
327,Panama City,PA,8.9936,-79.5197,82.13,86,40,9.22,light rain
328,San Cristobal,VE,7.7669,-72.225,80.78,61,88,2.13,overcast clouds
329,Angoche,MZ,-16.2325,39.9086,78.31,77,0,17.74,clear sky
330,Rawson,AR,-43.3002,-65.1023,82.69,28,20,10.36,few clouds
331,Myanaung,MM,18.2833,95.3167,70.99,77,100,4.38,overcast clouds
332,Mataram,ID,-8.5833,116.1167,77.81,85,100,4.72,overcast clouds
333,Harper,LR,4.375,-7.7169,78.75,83,43,8.08,scattered clouds
334,Tari,NG,12.4086,4.4914,83.7,20,9,8.05,clear sky
335,Nuuk,GL,64.1835,-51.7216,18.88,62,5,23.0,clear sky
336,Bo Rai,TH,12.5728,102.5371,77.74,71,100,5.17,overcast clouds
337,Bagdarin,RU,54.4333,113.6,15.76,63,98,3.85,overcast clouds
338,Haines Junction,CA,60.7522,-137.5108,4.95,78,92,1.14,overcast clouds
339,Nanortalik,GL,60.1432,-45.2371,28.58,77,14,9.75,few clouds
340,Ahipara,NZ,-35.1667,173.1667,61.54,88,29,3.87,scattered clouds
341,Annau,TM,37.8876,58.516,42.3,81,0,6.91,clear sky
342,Kununurra,AU,-15.7667,128.7333,82.38,78,22,0.0,few clouds
343,San Andres,CO,12.5847,-81.7006,86.02,66,20,5.75,few clouds
